epoch,accuracy,iou_agriculture_rangeland,iou_barren,iou_forest,iou_unknown,iou_urban,iou_water,learning_rate,loss,miou,val_accuracy,val_iou_agriculture_rangeland,val_iou_barren,val_iou_forest,val_iou_unknown,val_iou_urban,val_iou_water,val_loss,val_miou
0,0.3576718866825104,0.34572869539260864,0.0166519433259964,0.283331036567688,0.0033793484326452017,0.06645289808511734,0.191324383020401,2.9999999242136255e-05,2.5148701667785645,0.15114472806453705,0.42875733971595764,0.29098746180534363,0.033182293176651,0.35416579246520996,0.04165680706501007,0.3747079372406006,0.26684123277664185,2.4096791744232178,0.2269235998392105
1,0.6553584337234497,0.6196646094322205,0.01535659097135067,0.5042803287506104,0.004834629595279694,0.1766783446073532,0.5362618565559387,2.9999999242136255e-05,2.1072239875793457,0.30951276421546936,0.7734772562980652,0.6708306074142456,0.02770286239683628,0.6806972026824951,0.04182088002562523,0.556108295917511,0.7551072835922241,1.8899799585342407,0.4553779065608978
2,0.7409456372261047,0.6943104863166809,0.011684817261993885,0.5928817987442017,0.004638663027435541,0.2468070536851883,0.6279658675193787,2.9999999242136255e-05,1.9524542093276978,0.36304816603660583,0.8241484761238098,0.7429042458534241,0.012341944500803947,0.77891606092453,0.01741417497396469,0.5465884208679199,0.7808061838150024,1.7002544403076172,0.4798285663127899
3,0.7742458581924438,0.7252256274223328,0.007084944285452366,0.6414892673492432,0.004777728114277124,0.25258421897888184,0.6850346326828003,2.9999999242136255e-05,1.8620576858520508,0.3860327899456024,0.8585708737373352,0.7939415574073792,0.00370466778986156,0.8077157139778137,0.0022293974179774523,0.6157326102256775,0.8353749513626099,1.578958511352539,0.5097832083702087
4,0.79436856508255,0.752729594707489,0.004249249119311571,0.6650635600090027,0.0030435032676905394,0.27732378244400024,0.70745450258255,2.9999999242136255e-05,1.7872722148895264,0.4016440808773041,0.8583741188049316,0.7973518371582031,0.0009538137819617987,0.797539472579956,0.00048103168956004083,0.5468109846115112,0.8766006827354431,1.5738264322280884,0.5032896995544434
5,0.8053728342056274,0.7650716304779053,0.0035399373155087233,0.6596904993057251,0.0012568566016852856,0.30540698766708374,0.7375174760818481,2.9999999242136255e-05,1.7390915155410767,0.4120806157588959,0.8805683255195618,0.8320435881614685,0.0008029586751945317,0.8162660002708435,0.00014629891666118056,0.6462247967720032,0.8885380625724792,1.4887059926986694,0.5306703448295593
6,0.8115854263305664,0.7761982679367065,0.0021716016344726086,0.6683645844459534,0.0005065911100246012,0.3118864595890045,0.7354670763015747,2.9999999242136255e-05,1.6928339004516602,0.41576579213142395,0.8791340589523315,0.8276074528694153,0.0013425033539533615,0.8248934745788574,5.13383092766162e-05,0.6290582418441772,0.8931691646575928,1.4478998184204102,0.5293537974357605
7,0.8168533444404602,0.7847327589988708,0.003913392778486013,0.6765226125717163,0.00038011185824871063,0.3038729131221771,0.7437188029289246,2.9999999242136255e-05,1.663779616355896,0.41885682940483093,0.8824605941772461,0.8342861533164978,0.0033911489881575108,0.8271564841270447,7.631604239577428e-05,0.6210361123085022,0.9092093110084534,1.4381183385849,0.5325260162353516
8,0.8283551335334778,0.7936485409736633,0.0081985117867589,0.7076303958892822,0.00015027637709863484,0.34445297718048096,0.7588586807250977,2.9999999242136255e-05,1.6089427471160889,0.4354899227619171,0.8744155764579773,0.8203479051589966,0.006170886103063822,0.8307327032089233,2.935848215201986e-06,0.6104754209518433,0.8820366263389587,1.431091547012329,0.5249611735343933
9,0.8336993455886841,0.7978912591934204,0.01402469351887703,0.7102757096290588,8.603982860222459e-05,0.35749173164367676,0.7800091505050659,2.9999999242136255e-05,1.582761287689209,0.4432964622974396,0.8869178891181946,0.8421424627304077,0.012638341635465622,0.8322970867156982,1.6148209397215396e-05,0.6357123851776123,0.9132981300354004,1.3830915689468384,0.5393508076667786
