epoch,accuracy,iou_agriculture_rangeland,iou_barren,iou_forest,iou_unknown,iou_urban,iou_water,learning_rate,loss,miou,val_accuracy,val_iou_agriculture_rangeland,val_iou_barren,val_iou_forest,val_iou_unknown,val_iou_urban,val_iou_water,val_loss,val_miou
0,0.7345619201660156,0.6989521980285645,0.14567242562770844,0.5280289053916931,0.0,0.23733001947402954,0.5806095600128174,9.999999747378752e-05,1.7826411724090576,0.36509886384010315,0.8676155209541321,0.7974587678909302,0.18551871180534363,0.7583592534065247,0.0,0.5943196415901184,0.9062042236328125,1.4328327178955078,0.5403101444244385
1,0.8140236735343933,0.7501628994941711,0.23779524862766266,0.676908016204834,0.0,0.456735223531723,0.705033540725708,9.999999747378752e-05,1.3868215084075928,0.4711059033870697,0.886993408203125,0.8218671083450317,0.2815239429473877,0.77369624376297,0.0,0.8243851661682129,0.9143434762954712,1.2921391725540161,0.6026360392570496
2,0.8510592579841614,0.795950174331665,0.2545560598373413,0.7000064849853516,0.0,0.5628160834312439,0.797028124332428,9.999999747378752e-05,1.28482186794281,0.5183928608894348,0.8920179605484009,0.8276147842407227,0.2883561849594116,0.7972604632377625,0.0,0.8722692728042603,0.9382218718528748,1.2978465557098389,0.6206205487251282
3,0.8599721789360046,0.8145113587379456,0.29090702533721924,0.7359001040458679,0.0,0.6163054704666138,0.7768898606300354,9.999999747378752e-05,1.2584623098373413,0.5390857458114624,0.9001796841621399,0.8380124568939209,0.2197846621274948,0.8216005563735962,0.0,0.8634390234947205,0.923089861869812,1.3650524616241455,0.6109878420829773
4,0.8756720423698425,0.82216477394104,0.301569402217865,0.7497661113739014,0.0,0.7071452140808105,0.8368663191795349,9.999999747378752e-05,1.1987268924713135,0.569585382938385,0.9018781781196594,0.8437206745147705,0.31451550126075745,0.832200288772583,0.0,0.8763648867607117,0.9252230525016785,1.249969720840454,0.6320042014122009
5,0.8881031274795532,0.8389094471931458,0.38165104389190674,0.7697246670722961,0.0,0.657313346862793,0.8623661398887634,9.999999747378752e-05,1.1630772352218628,0.5849941968917847,0.8963748812675476,0.8331187963485718,0.24662785232067108,0.8263439536094666,0.0,0.8759481310844421,0.9353628158569336,1.2316704988479614,0.6195669770240784
6,0.8860201835632324,0.8383870720863342,0.36286529898643494,0.7565296292304993,0.0,0.7171130180358887,0.8528375625610352,9.999999747378752e-05,1.175153136253357,0.5879554748535156,0.885867714881897,0.8155957460403442,0.29787448048591614,0.824892520904541,0.0,0.8496962785720825,0.8950335383415222,1.2651411294937134,0.613848865032196
7,0.8910967111587524,0.8402004241943359,0.3755340278148651,0.7817772030830383,0.0,0.7672085165977478,0.8514622449874878,9.999999747378752e-05,1.1621425151824951,0.6026971936225891,0.8858038187026978,0.8201620578765869,0.23628534376621246,0.8359337449073792,0.0,0.8495727777481079,0.922061026096344,1.240890383720398,0.6106692552566528
8,0.8908203840255737,0.8342196941375732,0.35416847467422485,0.7726027369499207,0.0,0.7714943885803223,0.8806765675544739,9.999999747378752e-05,1.1486672163009644,0.6021937131881714,0.8960664868354797,0.8364645838737488,0.24635536968708038,0.808038592338562,0.0,0.8552747368812561,0.9369967579841614,1.266838788986206,0.6138550639152527
9,0.9085748791694641,0.8599290251731873,0.39914700388908386,0.8099650144577026,0.0,0.859533429145813,0.8990870118141174,9.999999747378752e-05,1.0852614641189575,0.637943685054779,0.8991028070449829,0.8363183736801147,0.29018789529800415,0.8371867537498474,0.0,0.8810461163520813,0.9237919449806213,1.2794685363769531,0.6280885934829712
