epoch,accuracy,iou_agriculture_rangeland,iou_barren,iou_forest,iou_unknown,iou_urban,iou_water,learning_rate,loss,miou,val_accuracy,val_iou_agriculture_rangeland,val_iou_barren,val_iou_forest,val_iou_unknown,val_iou_urban,val_iou_water,val_loss,val_miou
0,0.7849823832511902,0.7270458340644836,0.14361774921417236,0.6154700517654419,0.0007373536354862154,0.48251447081565857,0.618412971496582,0.0003000000142492354,1.4891314506530762,0.43129977583885193,0.8712522387504578,0.7969818115234375,0.14564825594425201,0.6997936964035034,0.0,0.8099503517150879,0.9196230173110962,1.837445855140686,0.5619996190071106
1,0.8327549695968628,0.7727049589157104,0.2037021517753601,0.6983957886695862,0.0,0.6093917489051819,0.7100443840026855,0.0003000000142492354,1.3026102781295776,0.4990399181842804,0.9035642743110657,0.8535950779914856,0.3344053030014038,0.8179410696029663,0.0,0.8583851456642151,0.9157871007919312,1.3279703855514526,0.6300190091133118
2,0.8596022725105286,0.8000243306159973,0.24582867324352264,0.7194399237632751,0.0,0.7203463912010193,0.7877688407897949,0.0003000000142492354,1.2218552827835083,0.54556804895401,0.8673326373100281,0.8526018261909485,0.3390808701515198,0.6840726137161255,0.0,0.8643439412117004,0.788608193397522,1.2956937551498413,0.5881180167198181
3,0.8706600069999695,0.8149347305297852,0.22216041386127472,0.7326309680938721,0.0,0.7505983710289001,0.8248476386070251,0.0003000000142492354,1.1767377853393555,0.5575287342071533,0.9109808802604675,0.8597608804702759,0.29655250906944275,0.8366027474403381,0.0,0.8945797681808472,0.937067449092865,1.2125424146652222,0.6374273300170898
4,0.8850072026252747,0.8360395431518555,0.29068419337272644,0.7501721382141113,0.0,0.774207353591919,0.8475025296211243,0.0003000000142492354,1.1302692890167236,0.5831010341644287,0.9052819013595581,0.8585948348045349,0.35398435592651367,0.8281888961791992,0.0,0.8067371249198914,0.9254169464111328,1.1735273599624634,0.6288204193115234
5,0.8953740000724792,0.8487587571144104,0.3407730460166931,0.7573263645172119,0.0,0.8116154670715332,0.8765913844108582,0.0003000000142492354,1.100365400314331,0.605844259262085,0.9159984588623047,0.8686231374740601,0.32537832856178284,0.8480028510093689,0.0,0.8801380395889282,0.945097804069519,1.1780799627304077,0.6445401310920715
6,0.9008055925369263,0.8568109273910522,0.34374120831489563,0.7640787363052368,0.0,0.7935724258422852,0.8946071267127991,0.0003000000142492354,1.0780316591262817,0.6088017821311951,0.8929685354232788,0.8422181606292725,0.31742095947265625,0.8076074719429016,0.0,0.7237887978553772,0.925819456577301,1.2180609703063965,0.6028091907501221
7,0.8933928608894348,0.848827600479126,0.3760196268558502,0.7652653455734253,0.0,0.7501622438430786,0.8569121360778809,0.0003000000142492354,1.1002037525177002,0.5995312333106995,0.8841352462768555,0.8176634907722473,0.3022964894771576,0.8254322409629822,0.0,0.8108108639717102,0.85670405626297,1.2387360334396362,0.6021513342857361
8,0.9072960615158081,0.8631869554519653,0.3669772148132324,0.7839040160179138,0.0,0.8080864548683167,0.9107577800750732,0.0003000000142492354,1.0492706298828125,0.6221521496772766,0.9151979684829712,0.8688141107559204,0.3770897090435028,0.8514309525489807,0.0,0.8543625473976135,0.9496033191680908,1.1523689031600952,0.6502168774604797
9,0.9095832705497742,0.8663174510002136,0.3757022023200989,0.788262128829956,0.0,0.8229549527168274,0.9130082726478577,0.0003000000142492354,1.0305407047271729,0.6277075409889221,0.913491427898407,0.8653572201728821,0.24657511711120605,0.8401235342025757,0.0,0.8545382022857666,0.9489352703094482,1.1868623495101929,0.6259216070175171
10,0.9121741056442261,0.8731226325035095,0.37780076265335083,0.7882928848266602,0.0,0.8400059342384338,0.9107463359832764,0.0003000000142492354,1.0214204788208008,0.6316614747047424,0.9080694317817688,0.8537396788597107,0.33796998858451843,0.8554461002349854,0.0,0.8808006048202515,0.9149842858314514,1.1786553859710693,0.6404901742935181
11,0.9218850135803223,0.8841277360916138,0.44785788655281067,0.8028238415718079,0.0,0.8163334131240845,0.9406659603118896,0.0003000000142492354,0.9899468421936035,0.6486348509788513,0.9090883135795593,0.8598740696907043,0.39241093397140503,0.8589208722114563,0.0,0.7925952672958374,0.9281613826751709,1.1512556076049805,0.6386604905128479
12,0.9245467185974121,0.8885124921798706,0.44876062870025635,0.8024948239326477,0.0,0.8428555727005005,0.943666934967041,0.0003000000142492354,0.9860199689865112,0.6543818116188049,0.9023666381835938,0.8472586274147034,0.37009719014167786,0.8126316666603088,0.0,0.8559209108352661,0.93720942735672,1.200709581375122,0.6371863484382629
13,0.9192816615104675,0.8817875385284424,0.46332332491874695,0.8021270036697388,0.0,0.8567755222320557,0.9140713214874268,0.0003000000142492354,1.005868911743164,0.6530142426490784,0.9117118716239929,0.8641640543937683,0.39219897985458374,0.8480187654495239,0.0,0.8817707300186157,0.9236759543418884,1.1494464874267578,0.6516381502151489
14,0.9153405427932739,0.8797817230224609,0.43949586153030396,0.7803146839141846,0.0,0.8291796445846558,0.9154588580131531,0.0003000000142492354,1.010918140411377,0.6407052874565125,0.9141836166381836,0.8654021620750427,0.3344425559043884,0.8428125381469727,0.0,0.8820652961730957,0.9589256644248962,1.1663167476654053,0.6472747921943665
15,0.9240133166313171,0.8858867883682251,0.43982693552970886,0.8096507787704468,0.0,0.8408198952674866,0.9483247995376587,0.0003000000142492354,0.9761479496955872,0.6540849804878235,0.9176708459854126,0.8716545104980469,0.3888516426086426,0.8479982614517212,0.0,0.8729813694953918,0.9650471806526184,1.1680063009262085,0.6577555537223816
16,0.9273164868354797,0.8956820964813232,0.47109630703926086,0.8056555390357971,0.0,0.8636559247970581,0.9398893713951111,0.0003000000142492354,0.9624204635620117,0.6626632809638977,0.9023674130439758,0.8431136012077332,0.34873855113983154,0.8490490317344666,0.0,0.8724405765533447,0.9120299816131592,1.2373037338256836,0.637562096118927
